Course;1_st_recommendation;2_nd_recommendation
356.0;571.0;357.0
357.0;571.0;356.0
358.0;566.0;515.0
359.0;566.0;515.0
360.0;566.0;515.0
361.0;551.0;1138.0
362.0;566.0;515.0
363.0;511.0;562.0
364.0;566.0;515.0
365.0;566.0;515.0
366.0;551.0;515.0
367.0;551.0;515.0
368.0;566.0;515.0
489.0;551.0;515.0
490.0;566.0;551.0
502.0;551.0;566.0
503.0;551.0;513.0
504.0;572.0;569.0
507.0;570.0;752.0
508.0;507.0;570.0
509.0;745.0;553.0
511.0;363.0;562.0
513.0;503.0;551.0
514.0;551.0;515.0
515.0;551.0;489.0
516.0;745.0;553.0
517.0;551.0;566.0
518.0;551.0;566.0
519.0;551.0;523.0
523.0;551.0;515.0
551.0;566.0;515.0
552.0;551.0;523.0
553.0;745.0;516.0
562.0;363.0;511.0
563.0;562.0;363.0
564.0;523.0;551.0
566.0;551.0;794.0
568.0;745.0;553.0
569.0;572.0;840.0
570.0;752.0;507.0
571.0;1125.0;357.0
572.0;569.0;504.0
659.0;551.0;566.0
664.0;551.0;503.0
670.0;566.0;515.0
671.0;566.0;515.0
672.0;566.0;515.0
679.0;551.0;489.0
741.0;551.0;566.0
742.0;566.0;515.0
743.0;490.0;566.0
744.0;566.0;515.0
745.0;553.0;516.0
749.0;551.0;515.0
750.0;551.0;566.0
752.0;570.0;507.0
753.0;750.0;551.0
755.0;566.0;515.0
756.0;566.0;515.0
757.0;566.0;551.0
764.0;566.0;551.0
765.0;571.0;1125.0
776.0;551.0;566.0
777.0;551.0;515.0
791.0;566.0;515.0
794.0;566.0;551.0
800.0;566.0;515.0
803.0;566.0;515.0
809.0;490.0;570.0
810.0;566.0;515.0
813.0;566.0;515.0
814.0;566.0;515.0
829.0;566.0;515.0
830.0;566.0;515.0
833.0;566.0;515.0
834.0;566.0;515.0
835.0;566.0;515.0
836.0;566.0;515.0
837.0;566.0;515.0
840.0;569.0;572.0
862.0;566.0;515.0
863.0;566.0;515.0
864.0;566.0;515.0
865.0;566.0;515.0
866.0;566.0;515.0
902.0;566.0;515.0
907.0;566.0;515.0
908.0;566.0;515.0
909.0;566.0;515.0
911.0;566.0;515.0
912.0;571.0;1125.0
1099.0;745.0;568.0
1100.0;551.0;566.0
1101.0;566.0;515.0
1102.0;566.0;515.0
1103.0;551.0;566.0
1104.0;566.0;515.0
1115.0;570.0;752.0
1116.0;566.0;515.0
1124.0;566.0;515.0
1125.0;571.0;912.0
1128.0;566.0;515.0
1129.0;566.0;515.0
1138.0;361.0;551.0
1139.0;745.0;553.0
1140.0;503.0;551.0
1141.0;566.0;515.0
1144.0;566.0;515.0
1145.0;566.0;515.0
1146.0;566.0;515.0
1147.0;566.0;515.0
1152.0;566.0;515.0
1156.0;566.0;515.0
1160.0;566.0;515.0
1161.0;840.0;569.0
1181.0;566.0;515.0
1182.0;566.0;515.0
1184.0;566.0;515.0
1185.0;566.0;515.0
1186.0;566.0;515.0
1187.0;566.0;515.0
1188.0;566.0;515.0
1198.0;566.0;515.0
1199.0;566.0;515.0
1200.0;566.0;515.0
1201.0;566.0;515.0
